market_hash_name,currency,current_min_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
StatTrak™ P90 | Grim (Factory New),EUR,2.99,,,,,0,2.37,59.99,14.07,2.53,5,1.45,59.99,4.63,2.68,31,1.45,59.99,3.33,2.46,94
Sticker | degster | Shanghai 2024,EUR,0.02,,,,,0,,,,,0,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,21
Sticker | DEVIL (Foil) | Cologne 2016,EUR,39.49,,,,,0,,,,,0,,,,,0,,,,,0
FAMAS | Meow 36 (Field-Tested),EUR,0.04,0.04,0.04,0.04,0.04,4,0.04,0.08,0.05,0.05,58,0.03,0.47,0.05,0.05,127,0.03,0.67,0.06,0.05,554
Sticker | Zeus (Foil) | Atlanta 2017,EUR,,,,,,0,,,,,0,,,,,0,,,,,0
★ Flip Knife | Fade (Minimal Wear),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Keoz (Foil) | Berlin 2019,EUR,1.19,,,,,0,,,,,0,,,,,0,0.5,0.5,0.5,0.5,1
Sticker | Fearsome,EUR,2.49,,,,,0,0.41,0.41,0.41,0.41,1,0.41,0.68,0.54,0.54,3,0.35,2.65,0.94,0.9,33
Sticker | FaZe Clan (Holo) | Antwerp 2022,EUR,2.5,1.7,2.5,2.38,2.5,7,1.7,2.98,2.65,2.69,18,1.55,4.03,2.24,2.15,118,1.33,4.03,2.16,2.15,242
★ Kukri Knife | Safari Mesh (Battle-Scarred),EUR,127,,,,,0,100,100,100,100,1,83.43,130,100.45,96.62,7,70.7,147.35,113.46,112.78,28
★ Skeleton Knife | Night Stripe (Well-Worn),EUR,,,,,,0,284.56,284.56,284.56,284.56,1,223.92,284.56,251.23,244.14,6,223.92,284.56,255.95,250,13
Sticker | Flipsid3 Tactics | Krakow 2017,EUR,9.99,,,,,0,,,,,0,5.02,8,6.75,6.98,4,4.98,8,6.4,6.04,14
"Sticker | b1t (Holo, Champion) | Copenhagen 2024",EUR,0.45,,,,,0,,,,,0,0.36,1.25,0.51,0.37,6,0.29,1.49,0.53,0.36,31
